Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Won points started on offense (holds),Won points started on defense (breaks),Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against
2025-04-26 09:49:05,Ranelagh,2025-04-26,16:05,0,15,12,Win,10,5,21,13,8,164,6,4,2,4,5,0,0
2025-04-26 09:48:34,Hardfisch,2025-04-26,13:15,0,13,12,Win,11,2,28,17,11,228,15,12,5,8,8,0,0
2025-04-27 14:32:48,Cotarica Grandes,2025-04-27,14:40,0,7,15,Loss,7,0,27,23,4,135,20,17,6,8,5,0,0
2025-04-26 09:46:35,Red Bulls,2025-04-26,10:25,0,12,11,Win,10,2,18,14,4,134,6,5,1,4,2,0,0
2025-04-27 08:54:11,Heidees,2025-04-27,09:00,0,9,14,Loss,8,1,24,19,5,176,15,10,5,6,5,0,0
2025-04-27 11:28:52,Mooncatchers,2025-04-27,11:28,0,9,14,Loss,9,0,21,17,4,122,12,12,2,5,2,0,0
